sense_key,text_snippet,doc_id,annotation_index,sense_key fixes,
1st%5:00:00:ordinal:00,"story of the Flood.
 One of the most damaging tsunami on record followed the famous Lisbon earthquake of November 1, 1755; its waves persisted for a week and were felt as far_away as the English coast. Tsunami",dKJN,157,1st%3.00.00..,
accustomed%3:00:00::,"experiments, just for safety. You should also begin this exercise with a very light barbell until you become accustomed to it balance_wise.
 Oh, you'll wobble and weave quite a_bit at_first. But don't worry.",oMBA,2042,accustomed_to%3.00.00..,
accustomed%3:00:00::,"has built his performance on the intention to reproduce as faithfully as possible exactly what Brahms set_down on_paper.
 Those accustomed to broader, more romantic statements of the symphony can be expected to react strongly when they hear this one",FxgB,1837,accustomed_to%3.00.00..,
accustomed%3:00:00::,"the sex_act so he can be supreme in at_least one area.
 More often, though, he is so accustomed to submitting to authority on the job without argument that he lives by the same rule at home.
 Some",+i7T,968,accustomed_to%3.00.00..,
accustomed%3:00:00::,"and he the receiver, nay the demander. His feeling always exacted sacrifices from her. One is so accustomed to think_of men as the privileged who need but ask and receive, and women as submissive and yielding,",rZrw,122,accustomed_to%3.00.00..,
attorney_general%1:04:00::,". Postmaster_General Burleson set_about to protect the American people against radical propaganda that might be spread through the mails. Attorney_General Palmer made a series of raids that sent more_than 4000 so-called radicals to the jails, in direct violation of",fk+Q,53,attorney_general%1.18.01..,
be%2:30:14::,"he also conducts "" Die_Meistersinger "", to be presented Aug. 8 and 12. The "" Ring "" cycles are July 26, 27, 28 and 30, and Aug. 21, 22, 23 and 25. Rudolf_Kempe",k+Gp,409,be%2.42.03..,
be%2:30:14::,"West_Branch in Factory_Point. No records are available as_to the date or extent of installation, but it may have been in 1896.
 On June_14, 1900 the Manchester_Journal reported that an electrical_engineer was installing an electric_light plant for Edward_S._Isham",qH6g,1616,occur,
be%2:30:14::,"was go_into court and have it officially changed, and this is something I don't tell everybody. That was almost forty years ago "".
 Having volunteered that he was a man of about sixty, he bounded up_the_stairs",wrQs,1710,occur,
be%2:30:14::,"very few slaves themselves, yet they had been pretty considerable carriers of them to others "".
 But that was a long_time ago. The New_England conscience became desensitized. George_W._Cable (naturalized New_Englander), writing in 1889 from",hsVx,1908,occur,
be%2:30:14::,"that he had made no such statement in 1956, and asserted that his only claim to "" pioneering "" was in 1952. The appeal_board, however, unanimously concurred in the Department's recommendation. Upon return of the",zAkC,1332,occur,
be%2:30:14::,"next succeeding day which is not a Saturday, Sunday, or legal_holiday. Since April 15, 1962, is on Sunday your return for the calendar_year 1961 will be timely filed if it is filed on or before Monday",efSq,213,occur,
be%2:30:14::,"Mayor_Terry_Schrunk, all Democrats.
 Three positions on the Oak_Lodge_Water district board_of_directors have attracted 11 candidates. The election will be Dec. 4 from 8 a. m. to 8 p. m. . Polls will be in the water office.
 Incumbent_Richard_Salter",rGVL,1117,occur,
be%2:30:14::,"W._H._Forsyth reported.
 Funeral for William_Joseph_Brett, 1926 NE 50 th Ave., who died Thursday in Portland, will be Monday 1 p. m. at the Riverview_Abbey.
 Mr._Brett, born in Brooklyn, N._Y., Dec. 15, 1886",PXff,941,occur,
be%2:30:14::,"a sister, Mrs._Birdie_Gevurtz; two brothers, Charley and Aaron_Cohn, San_Francisco; and five grandchildren.
 Services will be at 2: 30 p. m._Monday at Holman + Son Funeral_Home, with interment in Neveh_Zebek cemetery. The family",PXff,1320,occur,
be%2:30:14::,", $18.9 billion (see chart on Page One).
 The seasonal adjustment takes_into_account such factors as Easter was on April 2 this year, two_weeks earlier than in 1960, and pre-Easter buying was pushed into March.",6WF0,2077,occur,
be%2:30:14::,"just ask questions. Len_LeSourd went and lived in the slums as a sidewalk derelict for ten days.
 That was nearly 13 years ago. Len_LeSourd is my executive editor today.
 Many_of you are familiar, I'm sure",NbeH,580,occur,
be%2:30:14::,"60 yards. He moved only about 30 feet after the 240 - grain slug hit him - and this was after the bullet had passed_through a sapling.
 Three more deer have fallen to this same gun, and all",7N+7,580,occur,
be%2:30:14::,"of_it. He staggered over and dropped it on the table.
 Since Mrs._Calhoun remembered only that the marriage had been in the spring, he started to plod through several months. He tried to turn right to the society",IJrk,1468,occur,
be%2:30:14::,"it was two legs growing from his chest.
 Then there had been another head beside his own.
 Or was that after the torso and legs, waist to toe-tips, of the little girl which had grown from his",FtHl,1410,occur,
bring_together%2:35:01::,"It is worth dwelling in some detail on the crisis of this story, because it brings_together a number of characteristic elements and makes of them a curious, riddling compound obscurely but centrally significant for Mann",h7/O,16,bring%2.38.00..,together%4.02.03..
call%1:09:00::,"wrath; he must pray to be spared.
 Papa was disappointed that none of the brothers had heard the Call. Not George, Townley, or Ted, certainly not Ludie. Burt was at Hackettstown and Will at",j3qj,1607,call%1.09.16..,
